DATA,NF-e,CNPJ/CPF,CLIENTE,VALOR,TIPO DE VENDA,VEND,COM,SIMPLES,FRETE,% FRETE
28/05/2023,16951,20.596.374/0001-29,Paulo Moraes,2029.25,A PRAZO,Srta. Maria Flor Aragão,10.58,NÃO,164.96,8.02
16/11/2023,84356,47.815.062/0001-15,Olívia Melo,642.61,A PRAZO,Dr. Marcos Vinicius da Paz,43.99,NÃO,31.61,2.35
02/04/2024,34895,10.683.942/0001-75,Sophia da Luz,177.97,A PRAZO,Gael Henrique Campos,35.02,SIM,181.76,4.79
11/03/2024,28602,15.406.872/0001-21,Ísis Camargo,2579.3,À VISTA,Mateus Rezende,47.26,NÃO,400.63,3.47
27/01/2024,31449,73.981.065/0001-39,Bárbara Cassiano,4860.19,A PRAZO,Dom Pastor,64.33,SIM,102.49,7.11
30/05/2023,38331,08.674.932/0001-21,Lucas Gabriel Ramos,2861.58,A PRAZO,Isabel das Neves,11.26,SIM,117.67,7.14
28/04/2024,63316,82.173.965/0001-40,Heloisa Moreira,2249.89,À VISTA,Helena Pires,67.37,SIM,421.22,9.39
23/01/2025,62514,21.740.965/0001-90,Ana Liz da Cruz,1719.91,A PRAZO,Henry Gabriel Silva,92.01,NÃO,298.42,8.92
13/06/2022,44017,37.805.692/0001-55,Caroline Montenegro,1809.53,À VISTA,Lucas Gabriel Farias,54.05,NÃO,141.18,3.06
03/02/2025,93142,47.208.356/0001-89,Gabriel Moura,885.63,À VISTA,Sophia da Luz,97.52,SIM,440.01,4.41
05/08/2023,22826,20.493.687/0001-51,Thomas Moreira,3884.63,À VISTA,Diogo Lopes,0.16,SIM,371.22,3.87
16/02/2023,93578,51.827.346/0001-07,Hadassa Caldeira,2972.84,À VISTA,Mathias Sales,6.16,SIM,342.89,4.25
02/02/2024,33544,32.961.047/0001-08,Srta. Carolina Machado,4110.82,À VISTA,Levi Abreu,24.86,SIM,320.16,3.16
10/01/2025,80809,82.679.043/0001-00,Ana Liz Monteiro,2396.19,A PRAZO,Davi Leão,81.93,SIM,335.45,6.65
11/10/2024,69191,58.209.746/0001-90,Olívia Camargo,3856.9,A PRAZO,Daniela Borges,78.8,NÃO,38.34,9.7
17/09/2022,18236,47.629.081/0001-57,Beatriz Campos,3120.06,A PRAZO,Dr. Apollo Moreira,26.35,NÃO,173.67,8.84
20/05/2023,60722,18.937.240/0001-82,Srta. Bruna Garcia,2761.75,A PRAZO,Sr. Luiz Otávio da Luz,78.94,NÃO,29.72,4.59
26/01/2024,51841,68.572.341/0001-75,Dra. Júlia Câmara,721.39,À VISTA,André Nogueira,96.37,SIM,21.1,2.14
07/03/2025,59182,09.486.752/0001-89,João Vitor Costela,2188.85,A PRAZO,Dr. José Pedro Leão,57.09,NÃO,229.91,8.38
29/06/2023,23721,06.481.923/0001-99,Vitor Gabriel Macedo,2133.15,À VISTA,Otto Araújo,75.66,NÃO,417.56,1.67
10/08/2023,18978,02.856.197/0001-90,Sr. João Felipe Moreira,4513.47,A PRAZO,Sra. Helena da Rosa,77.34,NÃO,364.16,8.84
25/09/2023,74743,03.619.285/0001-31,Anthony Gabriel Rios,482.88,A PRAZO,Lucas Gabriel Nascimento,60.99,SIM,193.17,6.76
19/06/2022,39467,59.178.346/0001-27,Joana Vargas,4220.03,A PRAZO,Josué Leão,31.23,SIM,299.11,4.26
21/12/2024,53206,71.246.953/0001-82,Maria Vitória Moreira,1315.37,À VISTA,Bárbara da Mata,35.99,SIM,179.73,7.25
20/05/2024,89869,02.598.436/0001-50,Luiz Felipe da Conceição,3580.91,A PRAZO,Stephany Montenegro,74.75,SIM,342.45,1.25
26/06/2024,70745,96.802.345/0001-38,Bárbara Viana,2515.95,À VISTA,Sra. Alícia da Paz,46.15,NÃO,144.87,8.48
17/11/2023,64846,01.794.628/0001-79,Leonardo Albuquerque,387.55,A PRAZO,Bryan Guerra,96.61,SIM,406.64,8.99
18/12/2022,74873,43.597.281/0001-14,Sra. Brenda Borges,3424.24,A PRAZO,Rodrigo Rodrigues,55.49,NÃO,468.56,1.21
19/06/2022,11588,73.965.104/0001-04,Leonardo Costa,1062.03,À VISTA,Ana Sophia Novais,85.48,NÃO,55.89,5.12
20/01/2024,27879,28.597.613/0001-77,Enzo Moraes,1837.18,À VISTA,Maria Laura das Neves,29.27,SIM,230.19,1.78
10/07/2022,69480,45.869.720/0001-26,Joana Pinto,2306.0,A PRAZO,Marina Nunes,31.3,NÃO,406.94,4.26
06/07/2023,30019,07.659.831/0001-19,Emanuel Fogaça,2955.72,A PRAZO,Rafael Aparecida,9.52,NÃO,482.83,7.23
21/07/2023,66180,16.597.834/0001-66,Stella Cunha,1100.99,A PRAZO,Dr. Gabriel Fernandes,23.26,SIM,239.49,8.03
02/03/2024,24141,12.974.385/0001-77,Dra. Anna Liz Mendes,4597.26,A PRAZO,Pedro Miguel da Rocha,32.42,SIM,464.23,5.89
25/06/2024,30763,67.139.250/0001-88,Isabel Barros,1460.09,A PRAZO,Apollo Teixeira,17.38,SIM,316.88,2.49
02/01/2025,89949,13.780.469/0001-32,Eloah Almeida,921.82,À VISTA,Aylla Farias,81.81,NÃO,61.18,9.05
